source_file,source_url,source_pillar,anchor,relation,target_url,score,target_kd,target_volume
2025-09-10_1--short-term-property-finance.md,/resources/guides/short-term-property-finance,Bridging Finance (Commercial),Bridging Finance (Commercial) guide,pillar,/pillars/bridging-finance-commercial,999.0,,
2025-09-10_1--short-term-property-finance.md,/resources/guides/short-term-property-finance,Bridging Finance (Commercial),short term property loans,same-pillar,/resources/guides/short-term-property-loans,5.36,8.0,260.0
2025-09-10_1--short-term-property-finance.md,/resources/guides/short-term-property-finance,Bridging Finance (Commercial),short term property funding,same-pillar,/resources/guides/short-term-property-funding,5.195,6.0,70.0
2025-09-10_1--short-term-property-finance.md,/resources/guides/short-term-property-finance,Bridging Finance (Commercial),short term property loan,same-pillar,/resources/guides/short-term-property-loan,5.188,5.0,50.0
2025-09-10_1--short-term-property-finance.md,/resources/guides/short-term-property-finance,Bridging Finance (Commercial),short term private lenders,cross-pillar,/resources/guides/short-term-private-lenders,1.445,10.0,70.0
2025-09-10_2--second-mortgage-australia.md,/resources/guides/second-mortgage-australia,Second Mortgages (Business/Investment),Second Mortgages (Business/Investment) guide,pillar,/pillars/second-mortgages-businessinvestment,999.0,,
2025-09-10_2--second-mortgage-australia.md,/resources/guides/second-mortgage-australia,Second Mortgages (Business/Investment),second mortgage lenders australia,same-pillar,/resources/guides/second-mortgage-lenders-australia,5.995,6.0,70.0
2025-09-10_2--second-mortgage-australia.md,/resources/guides/second-mortgage-australia,Second Mortgages (Business/Investment),mortgage rates for second mortgage,same-pillar,/resources/tools/mortgage-rates-for-second-mortgage,5.928,9.0,40.0
2025-09-10_2--second-mortgage-australia.md,/resources/guides/second-mortgage-australia,Second Mortgages (Business/Investment),2nd mortgage australia,same-pillar,/resources/guides/2nd-mortgage-australia,5.928,13.0,90.0
2025-09-10_2--second-mortgage-australia.md,/resources/guides/second-mortgage-australia,Second Mortgages (Business/Investment),urgent caveat loans,cross-pillar,/resources/guides/urgent-caveat-loans,2.307,0.0,140.0
2025-09-11_1--no-doc-short-term-mortgages.md,/resources/guides/no-doc-short-term-mortgages,Commercial Property Loans,Commercial Property Loans guide,pillar,/pillars/commercial-property-loans,999.0,,
2025-09-11_1--no-doc-short-term-mortgages.md,/resources/guides/no-doc-short-term-mortgages,Commercial Property Loans,no doc abn loans,same-pillar,/resources/guides/no-doc-abn-loans,5.111,6.0,50.0
2025-09-11_1--no-doc-short-term-mortgages.md,/resources/guides/no-doc-short-term-mortgages,Commercial Property Loans,low doc business finance,same-pillar,/resources/guides/low-doc-business-finance,4.708,9.0,70.0
2025-09-11_1--no-doc-short-term-mortgages.md,/resources/guides/no-doc-short-term-mortgages,Commercial Property Loans,commercial property calculator,same-pillar,/resources/tools/commercial-property-calculator,4.577,17.0,90.0
2025-09-11_1--no-doc-short-term-mortgages.md,/resources/guides/no-doc-short-term-mortgages,Commercial Property Loans,short term private lenders,cross-pillar,/resources/guides/short-term-private-lenders,2.445,10.0,70.0
2025-09-11_2--bridging-loan.md,/resources/guides/bridging-loan,Bridging Finance (Commercial),Bridging Finance (Commercial) guide,pillar,/pillars/bridging-finance-commercial,999.0,,
2025-09-11_2--bridging-loan.md,/resources/guides/bridging-loan,Bridging Finance (Commercial),commercial bridging loan,same-pillar,/resources/guides/commercial-bridging-loan,5.513,3.0,50.0
2025-09-11_2--bridging-loan.md,/resources/guides/bridging-loan,Bridging Finance (Commercial),commercial bridge loan,same-pillar,/resources/guides/commercial-bridge-loan,5.115,4.0,40.0
2025-09-11_2--bridging-loan.md,/resources/guides/bridging-loan,Bridging Finance (Commercial),bridging loan construction,same-pillar,/resources/guides/bridging-loan-construction,5.003,13.0,40.0
2025-09-11_2--bridging-loan.md,/resources/guides/bridging-loan,Bridging Finance (Commercial),commercial construction loan,cross-pillar,/resources/guides/commercial-construction-loan,1.478,5.0,40.0
2025-09-12_1--second-mortgage-lenders-australia.md,/resources/guides/second-mortgage-lenders-australia,Second Mortgages (Business/Investment),Second Mortgages (Business/Investment) guide,pillar,/pillars/second-mortgages-businessinvestment,999.0,,
2025-09-12_1--second-mortgage-lenders-australia.md,/resources/guides/second-mortgage-lenders-australia,Second Mortgages (Business/Investment),second mortgage lenders,same-pillar,/resources/guides/second-mortgage-lenders,6.357,17.0,70.0
2025-09-12_1--second-mortgage-lenders-australia.md,/resources/guides/second-mortgage-lenders-australia,Second Mortgages (Business/Investment),second mortgage australia,same-pillar,/resources/guides/second-mortgage-australia,6.115,2.0,140.0
2025-09-12_1--second-mortgage-lenders-australia.md,/resources/guides/second-mortgage-lenders-australia,Second Mortgages (Business/Investment),2nd mortgage lenders,same-pillar,/resources/guides/2nd-mortgage-lenders,6.004,11.0,70.0
2025-09-12_1--second-mortgage-lenders-australia.md,/resources/guides/second-mortgage-lenders-australia,Second Mortgages (Business/Investment),alternative business lenders,cross-pillar,/resources/guides/alternative-business-lenders,2.365,14.0,40.0
2025-09-12_2--no-doc-abn-loans.md,/resources/guides/no-doc-abn-loans,Commercial Property Loans,Commercial Property Loans guide,pillar,/pillars/commercial-property-loans,999.0,,
2025-09-12_2--no-doc-abn-loans.md,/resources/guides/no-doc-abn-loans,Commercial Property Loans,no doc short term mortgages,same-pillar,/resources/guides/no-doc-short-term-mortgages,5.139,3.0,40.0
2025-09-12_2--no-doc-abn-loans.md,/resources/guides/no-doc-abn-loans,Commercial Property Loans,smsf loans for commercial property,same-pillar,/resources/guides/smsf-loans-for-commercial-property,5.037,16.0,70.0
2025-09-12_2--no-doc-abn-loans.md,/resources/guides/no-doc-abn-loans,Commercial Property Loans,low doc business finance,same-pillar,/resources/guides/low-doc-business-finance,4.821,9.0,70.0
2025-09-12_2--no-doc-abn-loans.md,/resources/guides/no-doc-abn-loans,Commercial Property Loans,low doc commercial loans,cross-pillar,/resources/guides/low-doc-commercial-loans,2.795,6.0,170.0
2025-09-13_1--bridging-loan-for-property-development.md,/resources/guides/bridging-loan-for-property-development,Bridging Finance (Commercial),Bridging Finance (Commercial) guide,pillar,/pillars/bridging-finance-commercial,999.0,,
2025-09-13_1--bridging-loan-for-property-development.md,/resources/guides/bridging-loan-for-property-development,Bridging Finance (Commercial),bridging finance for property development,same-pillar,/resources/guides/bridging-finance-for-property-development,5.169,3.0,40.0
2025-09-13_1--bridging-loan-for-property-development.md,/resources/guides/bridging-loan-for-property-development,Bridging Finance (Commercial),bridging loan guide,same-pillar,/resources/guides/bridging-loan,4.858,2.0,50.0
2025-09-13_1--bridging-loan-for-property-development.md,/resources/guides/bridging-loan-for-property-development,Bridging Finance (Commercial),commercial bridging loan,same-pillar,/resources/guides/commercial-bridging-loan,4.846,3.0,50.0
2025-09-13_1--bridging-loan-for-property-development.md,/resources/guides/bridging-loan-for-property-development,Bridging Finance (Commercial),property development loan,cross-pillar,/resources/guides/property-development-loan,1.606,6.0,90.0
2025-09-13_2--2nd-mortgages-with-bad-credit.md,/resources/guides/2nd-mortgages-with-bad-credit,Second Mortgages (Business/Investment),Second Mortgages (Business/Investment) guide,pillar,/pillars/second-mortgages-businessinvestment,999.0,,
2025-09-13_2--2nd-mortgages-with-bad-credit.md,/resources/guides/2nd-mortgages-with-bad-credit,Second Mortgages (Business/Investment),2nd mortgage australia,same-pillar,/resources/guides/2nd-mortgage-australia,5.428,13.0,90.0
2025-09-13_2--2nd-mortgages-with-bad-credit.md,/resources/guides/2nd-mortgages-with-bad-credit,Second Mortgages (Business/Investment),second mortgage australia,same-pillar,/resources/guides/second-mortgage-australia,5.282,2.0,140.0
2025-09-13_2--2nd-mortgages-with-bad-credit.md,/resources/guides/2nd-mortgages-with-bad-credit,Second Mortgages (Business/Investment),second mortgage for poor credit,same-pillar,/resources/guides/second-mortgage-for-poor-credit,5.237,9.0,50.0
2025-09-13_2--2nd-mortgages-with-bad-credit.md,/resources/guides/2nd-mortgages-with-bad-credit,Second Mortgages (Business/Investment),bad credit business loans australia,cross-pillar,/resources/guides/bad-credit-business-loans-australia,2.39,16.0,90.0
2025-09-14_1--low-doc-business-finance.md,/resources/guides/low-doc-business-finance,Commercial Property Loans,Commercial Property Loans guide,pillar,/pillars/commercial-property-loans,999.0,,
2025-09-14_1--low-doc-business-finance.md,/resources/guides/low-doc-business-finance,Commercial Property Loans,no doc abn loans,same-pillar,/resources/guides/no-doc-abn-loans,4.839,6.0,50.0
2025-09-14_1--low-doc-business-finance.md,/resources/guides/low-doc-business-finance,Commercial Property Loans,no doc short term mortgages,same-pillar,/resources/guides/no-doc-short-term-mortgages,4.753,3.0,40.0
